question,nb_documents,fichiers_pertinents
A quelle hauteur suis je couvert en ostéopathie ?,6,82852_ccpma_sante evin_oda_tg et bar.pdf | 82471 - ODA_Tableau de garanties_HAM 2020.pdf | 82470 - ODA_Tableau de garanties_AM 2020.pdf | ccpma_santé_oda_ni 2018.pdf | 202410_CCN 52_TG BAR_EVIN_177.pdf | 202201_TG_CCN52 Av51_Ref131.pdf
quel taux de remboursement pour le dentaire pour un salarié avec 2 ans d'ancienneté sur la tranche B ?,2,202201_TG_CCN52 Av51_Ref131.pdf | 202201_NI_CCN 52_PREV SANTE_Ref31.pdf
est ce que je suis covert en cas d'invalidité et si oui à quelle hauteur ?,7,202201_TG_CCN52 Av51_Ref131.pdf | 202201_NI_CCN 52_PREV SANTE_Ref31.pdf | 202201_CG_CCN 52_PREV SANTE_Ref314.pdf | 202201_TG Barème cotisations_Régime d'adhésion Ch.Agriculture_Prévoyance_113.pdf | 202401_TG Barèmes_Régime Adhésion_Prévoyance_1070.pdf | 202401_TG Barèmes_Régime Adhésion Chambres Agriculture_Prévoyance_113.pdf | 202207_NI_Régime d'adhésion_Prévoyance_171.pdf
quelles sont les garanties de ce regime pour un actif de 43 ans ?,5,82471 - ODA_Tableau de garanties_HAM 2020.pdf | 82470 - ODA_Tableau de garanties_AM 2020.pdf | ccpma_santé_oda_ni 2018.pdf | 202201_TG_CCN52 Av51_Ref131.pdf | 202201_NI_CCN 52_PREV SANTE_Ref31.pdf
le salarié souhaite connaitre le délai de carence ou la franchise du contrat IJ ?,8,202201_TG_CCN52 Av51_Ref131.pdf | 202201_NI_CCN 52_PREV SANTE_Ref31.pdf | 202201_CG_CCN 52_PREV SANTE_Ref314.pdf | 202201_TG Barème cotisations_Régime d'adhésion Ch.Agriculture_Prévoyance_113.pdf | 202401_TG Barèmes_Régime Adhésion_Prévoyance_1070.pdf | 202401_TG Barèmes_Régime Adhésion Chambres Agriculture_Prévoyance_113.pdf | 202207_NI_Régime d'adhésion_Prévoyance_171.pdf | 202207_Règlement_Régime d'adhésion_Prévoyance_23.pdf
Quelles sont mes garanties en prévoyance (cotisations et prestations) et quelles options existent ?,9,202201_TG_CCN52 Av51_Ref131.pdf | 202201_NI_CCN 52_PREV SANTE_Ref31.pdf | 202201_CG_CCN 52_PREV SANTE_Ref314.pdf | 202201_BAREME_CCN 52_PREV SANTE RETRAITE SUPPL_Ref125.pdf | 202201_TG Barème cotisations_Régime d'adhésion Ch.Agriculture_Prévoyance_113.pdf | 202401_TG Barèmes_Régime Adhésion_Prévoyance_1070.pdf | 202401_TG Barèmes_Régime Adhésion Chambres Agriculture_Prévoyance_113.pdf | 202207_NI_Régime d'adhésion_Prévoyance_171.pdf | 202207_Règlement_Régime d'adhésion_Prévoyance_23.pdf
ai je droit à de l'assistance,4,83856_ccpma_sante evin_oda_cg ni .pdf | ccpma_santé_oda_ni 2018.pdf | 202410_CCN 52_CG valant NI_118.pdf | 202201_NI_CCN 52_PREV SANTE_Ref31.pdf
quelle est le détail des prestations pour la garantie décès ?,8,202201_TG_CCN52 Av51_Ref131.pdf | 202201_NI_CCN 52_PREV SANTE_Ref31.pdf | 202201_CG_CCN 52_PREV SANTE_Ref314.pdf | 202201_TG Barème cotisations_Régime d'adhésion Ch.Agriculture_Prévoyance_113.pdf | 202401_TG Barèmes_Régime Adhésion_Prévoyance_1070.pdf | 202401_TG Barèmes_Régime Adhésion Chambres Agriculture_Prévoyance_113.pdf | 202207_NI_Régime d'adhésion_Prévoyance_171.pdf | 202207_Règlement_Régime d'adhésion_Prévoyance_23.pdf
Quel est le montant de la provision au 31 décembre pour un salarié ayant souscrit au 1er mars ?,3,83083 Bareme des cotisations ODA RG 2021.pdf | 82469 Bareme de cotisation ODA RA 2021.pdf | 202201_BAREME_CCN 52_PREV SANTE RETRAITE SUPPL_Ref125.pdf
Quels sont les modalités auxquels un client peut souscrire lors de la liquidation du PER individuel ?,0,AUCUN
Comment connaître le montant perceptible pour ce client qui liquide son PER ?,0,AUCUN
pourrai-je avoir accès au barème de cotisation du contrat-cadre ?,3,83083 Bareme des cotisations ODA RG 2021.pdf | 82469 Bareme de cotisation ODA RA 2021.pdf | 82468_ccpma_santé_oda_cg.pdf
sur quelle base est calculée l'indemnité journalière complémentaire de mon salarié ?,4,202201_TG_CCN52 Av51_Ref131.pdf | 202201_NI_CCN 52_PREV SANTE_Ref31.pdf | 202201_CG_CCN 52_PREV SANTE_Ref314.pdf | 202207_NI_Régime d'adhésion_Prévoyance_171.pdf
quelle méthode de calcul ?,6,83856_ccpma_sante evin_oda_cg ni .pdf | 82468_ccpma_santé_oda_cg.pdf | 202201_CG_CCN 52_PREV SANTE_Ref314.pdf | 202201_BAREME_CCN 52_PREV SANTE RETRAITE SUPPL_Ref125.pdf | 202207_NI_Régime d'adhésion_Prévoyance_171.pdf | 202207_Règlement_Régime d'adhésion_Prévoyance_23.pdf
quelle est ma garantie décès ?,8,202201_TG_CCN52 Av51_Ref131.pdf | 202201_NI_CCN 52_PREV SANTE_Ref31.pdf | 202201_CG_CCN 52_PREV SANTE_Ref314.pdf | 202201_TG Barème cotisations_Régime d'adhésion Ch.Agriculture_Prévoyance_113.pdf | 202401_TG Barèmes_Régime Adhésion_Prévoyance_1070.pdf | 202401_TG Barèmes_Régime Adhésion Chambres Agriculture_Prévoyance_113.pdf | 202207_NI_Régime d'adhésion_Prévoyance_171.pdf | 202207_Règlement_Régime d'adhésion_Prévoyance_23.pdf
